INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../code/RBM.cpp in debug mode
   Generating csim.exe
vector_out = 
num = 0, data[0] = 0.0000000, axis_last = 0
, num = 1, data[1] = 0.0000000, axis_last = 0
, num = 2, data[2] = 0.0000000, axis_last = 0
, num = 3, data[3] = 0.0000000, axis_last = 0
, num = 4, data[4] = 0.0000000, axis_last = 0
, num = 5, data[5] = 0.0000000, axis_last = 0
, num = 6, data[6] = 0.0000000, axis_last = 0
, num = 7, data[7] = 0.0000000, axis_last = 0
, num = 8, data[8] = 0.0000000, axis_last = 0
, num = 9, data[9] = 0.0000000, axis_last = 0
, num = 10, data[10] = 0.0000000, axis_last = 0
, num = 11, data[11] = 0.0000000, axis_last = 0
, num = 12, data[12] = 0.0000000, axis_last = 0
, num = 13, data[13] = 0.0000000, axis_last = 0
, num = 14, data[14] = 0.0000000, axis_last = 0
, num = 15, data[15] = 0.0000000, axis_last = 0
, num = 16, data[0] = 0.0000000, axis_last = 0
, num = 17, data[1] = 0.0000000, axis_last = 0
, num = 18, data[2] = 0.0000000, axis_last = 0
, num = 19, data[3] = 0.0000000, axis_last = 0
, num = 20, data[4] = 0.0000000, axis_last = 0
, num = 21, data[5] = 0.0000000, axis_last = 0
, num = 22, data[6] = 0.0000000, axis_last = 0
, num = 23, data[7] = 0.0000000, axis_last = 0
, num = 24, data[8] = 0.0000000, axis_last = 0
, num = 25, data[9] = 0.0000000, axis_last = 0
, num = 26, data[10] = 0.0000000, axis_last = 0
, num = 27, data[11] = 0.0000000, axis_last = 0
, num = 28, data[12] = 0.0000000, axis_last = 0
, num = 29, data[13] = 0.0000000, axis_last = 0
, num = 30, data[14] = 0.0000000, axis_last = 0
, num = 31, data[15] = 0.0000000, axis_last = 0
, num = 32, data[0] = 0.0000000, axis_last = 0
, num = 33, data[1] = 0.0000000, axis_last = 0
, num = 34, data[2] = 0.0000000, axis_last = 0
, num = 35, data[3] = 0.0000000, axis_last = 0
, num = 36, data[4] = 0.0000000, axis_last = 0
, num = 37, data[5] = 0.0000000, axis_last = 0
, num = 38, data[6] = 0.0000000, axis_last = 0
, num = 39, data[7] = 0.0000000, axis_last = 0
, num = 40, data[8] = 0.0000000, axis_last = 0
, num = 41, data[9] = 0.0000000, axis_last = 0
, num = 42, data[10] = 0.0000000, axis_last = 0
, num = 43, data[11] = 0.0000000, axis_last = 0
, num = 44, data[12] = 0.0000000, axis_last = 0
, num = 45, data[13] = 0.0000000, axis_last = 0
, num = 46, data[14] = 0.0000000, axis_last = 0
, num = 47, data[15] = 0.0000000, axis_last = 0
, num = 48, data[0] = 0.0000000, axis_last = 0
, num = 49, data[1] = 0.0000000, axis_last = 0
, num = 50, data[2] = 0.0000000, axis_last = 0
, num = 51, data[3] = 0.0000000, axis_last = 0
, num = 52, data[4] = 0.0000000, axis_last = 0
, num = 53, data[5] = 0.0000000, axis_last = 0
, num = 54, data[6] = 0.0000000, axis_last = 0
