INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../code/RBM_interface_tb.cpp in debug mode
   Compiling ../../../code/RBM_interface.cpp in debug mode
   Generating csim.exe
vector_out = 
num = 0, data = 0.000, axis_last = 0
, num = 1, data = 1.000, axis_last = 0
, num = 2, data = 2.000, axis_last = 0
, num = 3, data = 3.000, axis_last = 0
, num = 4, data = 4.000, axis_last = 0
, num = 5, data = 5.000, axis_last = 0
, num = 6, data = 6.000, axis_last = 0
, num = 7, data = 7.000, axis_last = 0
, num = 8, data = 8.000, axis_last = 0
, num = 9, data = 9.000, axis_last = 0
, num = 10, data = 10.000, axis_last = 0
, num = 11, data = 11.000, axis_last = 0
, num = 12, data = 12.000, axis_last = 0
, num = 13, data = 13.000, axis_last = 0
, num = 14, data = 14.000, axis_last = 0
, num = 15, data = 15.000, axis_last = 0
, num = 16, data = 16.000, axis_last = 0
, num = 17, data = 17.000, axis_last = 0
, num = 18, data = 18.000, axis_last = 0
, num = 19, data = 19.000, axis_last = 0
, num = 20, data = 20.000, axis_last = 0
, num = 21, data = 21.000, axis_last = 0
, num = 22, data = 22.000, axis_last = 0
, num = 23, data = 23.000, axis_last = 0
, num = 24, data = 24.000, axis_last = 0
, num = 25, data = 25.000, axis_last = 0
, num = 26, data = 26.000, axis_last = 0
, num = 27, data = 27.000, axis_last = 0
, num = 28, data = 28.000, axis_last = 0
, num = 29, data = 29.000, axis_last = 0
, num = 30, data = 30.000, axis_last = 0
, num = 31, data = 31.000, axis_last = 0
, num = 32, data = 32.000, axis_last = 0
, num = 33, data = 33.000, axis_last = 0
, num = 34, data = 34.000, axis_last = 0
, num = 35, data = 35.000, axis_last = 0
, num = 36, data = 36.000, axis_last = 0
, num = 37, data = 37.000, axis_last = 0
, num = 38, data = 38.000, axis_last = 0
, num = 39, data = 39.000, axis_last = 0
, num = 40, data = 40.000, axis_last = 0
, num = 41, data = 41.000, axis_last = 0
, num = 42, data = 42.000, axis_last = 0
, num = 43, data = 43.000, axis_last = 0
, num = 44, data = 44.000, axis_last = 0
, num = 45, data = 45.000, axis_last = 0
, num = 46, data = 46.000, axis_last = 0
, num = 47, data = 47.000, axis_last = 0
, num = 48, data = 48.000, axis_last = 0
, num = 49, data = 49.000, axis_last = 0
, num = 50, data = 50.000, axis_last = 0
, num = 51, data = 51.000, axis_last = 0
, num = 52, data = 52.000, axis_last = 0
, num = 53, data = 53.000, axis_last = 0
, num = 54, data = 54.000, axis_last = 0
, num = 55, data = 55.000, axis_last = 0
, num = 56, data = 56.000, axis_last = 0
, num = 57, data = 57.000, axis_last = 0
, num = 58, data = 58.000, axis_last = 0
, num = 59, data = 59.000, axis_last = 0
, num = 60, data = 60.000, axis_last = 0
, num = 61, data = 61.000, axis_last = 0
, num = 62, data = 62.000, axis_last = 0
, num = 63, data = 63.000, axis_last = 0
, num = 64, data = 64.000, axis_last = 0
, num = 65, data = 65.000, axis_last = 0
, num = 66, data = 66.000, axis_last = 0
, num = 67, data = 67.000, axis_last = 0
, num = 68, data = 68.000, axis_last = 0
, num = 69, data = 69.000, axis_last = 0
, num = 70, data = 70.000, axis_last = 0
, num = 71, data = 71.000, axis_last = 0
, num = 72, data = 72.000, axis_last = 0
, num = 73, data = 73.000, axis_last = 0
, num = 74, data = 74.000, axis_last = 0
, num = 75, data = 75.000, axis_last = 0
, num = 76, data = 76.000, axis_last = 0
, num = 77, data = 77.000, axis_last = 0
, num = 78, data = 78.000, axis_last = 0
, num = 79, data = 79.000, axis_last = 0
, num = 80, data = 80.000, axis_last = 0
, num = 81, data = 81.000, axis_last = 0
, num = 82, data = 82.000, axis_last = 0
, num = 83, data = 83.000, axis_last = 0
, num = 84, data = 84.000, axis_last = 0
, num = 85, data = 85.000, axis_last = 0
, num = 86, data = 86.000, axis_last = 0
, num = 87, data = 87.000, axis_last = 0
, num = 88, data = 88.000, axis_last = 0
, num = 89, data = 89.000, axis_last = 0
, num = 90, data = 90.000, axis_last = 0
, num = 91, data = 91.000, axis_last = 0
, num = 92, data = 92.000, axis_last = 0
, num = 93, data = 93.000, axis_last = 0
, num = 94, data = 94.000, axis_last = 0
, num = 95, data = 95.000, axis_last = 0
, num = 96, data = 96.000, axis_last = 0
, num = 97, data = 97.000, axis_last = 0
, num = 98, data = 98.000, axis_last = 0
, num = 99, data = 99.000, axis_last = 0
, num = 100, data = 100.000, axis_last = 0
, num = 101, data = 101.000, axis_last = 0
, num = 102, data = 102.000, axis_last = 0
, num = 103, data = 103.000, axis_last = 0
, num = 104, data = 104.000, axis_last = 0
, num = 105, data = 105.000, axis_last = 0
, num = 106, data = 106.000, axis_last = 0
, num = 107, data = 107.000, axis_last = 0
, num = 108, data = 108.000, axis_last = 0
, num = 109, data = 109.000, axis_last = 0
, num = 110, data = 110.000, axis_last = 0
, num = 111, data = 111.000, axis_last = 0
, num = 112, data = 112.000, axis_last = 0
, num = 113, data = 113.000, axis_last = 0
, num = 114, data = 114.000, axis_last = 0
, num = 115, data = 115.000, axis_last = 0
, num = 116, data = 116.000, axis_last = 0
, num = 117, data = 117.000, axis_last = 0
, num = 118, data = 118.000, axis_last = 0
, num = 119, data = 119.000, axis_last = 0
, num = 120, data = 120.000, axis_last = 0
, num = 121, data = 121.000, axis_last = 0
, num = 122, data = 122.000, axis_last = 0
, num = 123, data = 123.000, axis_last = 0
, num = 124, data = 124.000, axis_last = 0
, num = 125, data = 125.000, axis_last = 0
, num = 126, data = 126.000, axis_last = 0
, num = 127, data = 127.000, axis_last = 0
, num = 128, data = 128.000, axis_last = 0
, num = 129, data = 129.000, axis_last = 0
, num = 130, data = 130.000, axis_last = 0
, num = 131, data = 131.000, axis_last = 0
, num = 132, data = 132.000, axis_last = 0
, num = 133, data = 133.000, axis_last = 0
, num = 134, data = 134.000, axis_last = 0
, num = 135, data = 135.000, axis_last = 0
, num = 136, data = 136.000, axis_last = 0
, num = 137, data = 137.000, axis_last = 0
, num = 138, data = 138.000, axis_last = 0
, num = 139, data = 139.000, axis_last = 0
, num = 140, data = 140.000, axis_last = 0
, num = 141, data = 141.000, axis_last = 0
, num = 142, data = 142.000, axis_last = 0
, num = 143, data = 143.000, axis_last = 0
, num = 144, data = 144.000, axis_last = 0
, num = 145, data = 145.000, axis_last = 0
, num = 146, data = 146.000, axis_last = 0
, num = 147, data = 147.000, axis_last = 0
, num = 148, data = 148.000, axis_last = 0
, num = 149, data = 149.000, axis_last = 0
, num = 150, data = 150.000, axis_last = 0
, num = 151, data = 151.000, axis_last = 0
, num = 152, data = 152.000, axis_last = 0
, num = 153, data = 153.000, axis_last = 0
, num = 154, data = 154.000, axis_last = 0
, num = 155, data = 155.000, axis_last = 0
, num = 156, data = 156.000, axis_last = 0
, num = 157, data = 157.000, axis_last = 0
, num = 158, data = 158.000, axis_last = 0
, num = 159, data = 159.000, axis_last = 0
, num = 160, data = 160.000, axis_last = 0
, num = 161, data = 161.000, axis_last = 0
, num = 162, data = 162.000, axis_last = 0
, num = 163, data = 163.000, axis_last = 0
, num = 164, data = 164.000, axis_last = 0
, num = 165, data = 165.000, axis_last = 0
, num = 166, data = 166.000, axis_last = 0
, num = 167, data = 167.000, axis_last = 0
, num = 168, data = 168.000, axis_last = 0
, num = 169, data = 169.000, axis_last = 0
, num = 170, data = 170.000, axis_last = 0
, num = 171, data = 171.000, axis_last = 0
, num = 172, data = 172.000, axis_last = 0
, num = 173, data = 173.000, axis_last = 0
, num = 174, data = 174.000, axis_last = 0
, num = 175, data = 175.000, axis_last = 0
, num = 176, data = 176.000, axis_last = 0
, num = 177, data = 177.000, axis_last = 0
, num = 178, data = 178.000, axis_last = 0
, num = 179, data = 179.000, axis_last = 0
, num = 180, data = 180.000, axis_last = 0
, num = 181, data = 181.000, axis_last = 0
, num = 182, data = 182.000, axis_last = 0
, num = 183, data = 183.000, axis_last = 0
, num = 184, data = 184.000, axis_last = 0
, num = 185, data = 185.000, axis_last = 0
, num = 186, data = 186.000, axis_last = 0
, num = 187, data = 187.000, axis_last = 0
, num = 188, data = 188.000, axis_last = 0
, num = 189, data = 189.000, axis_last = 0
, num = 190, data = 190.000, axis_last = 0
, num = 191, data = 191.000, axis_last = 0
, num = 192, data = 192.000, axis_last = 0
, num = 193, data = 193.000, axis_last = 0
, num = 194, data = 194.000, axis_last = 0
, num = 195, data = 195.000, axis_last = 0
, num = 196, data = 196.000, axis_last = 0
, num = 197, data = 197.000, axis_last = 0
, num = 198, data = 198.000, axis_last = 0
, num = 199, data = 199.000, axis_last = 0
, num = 200, data = 200.000, axis_last = 0
, num = 201, data = 201.000, axis_last = 0
, num = 202, data = 202.000, axis_last = 0
, num = 203, data = 203.000, axis_last = 0
, num = 204, data = 204.000, axis_last = 0
, num = 205, data = 205.000, axis_last = 0
, num = 206, data = 206.000, axis_last = 0
, num = 207, data = 207.000, axis_last = 0
, num = 208, data = 208.000, axis_last = 0
, num = 209, data = 209.000, axis_last = 0
, num = 210, data = 210.000, axis_last = 0
, num = 211, data = 211.000, axis_last = 0
, num = 212, data = 212.000, axis_last = 0
, num = 213, data = 213.000, axis_last = 0
, num = 214, data = 214.000, axis_last = 0
, num = 215, data = 215.000, axis_last = 0
, num = 216, data = 216.000, axis_last = 0
, num = 217, data = 217.000, axis_last = 0
, num = 218, data = 218.000, axis_last = 0
, num = 219, data = 219.000, axis_last = 0
